# Iter  residual_force  a_values  atom_rms
0020      2.278971  3.9800 3.9991 4.0166 4.0336 4.0502 4.0666 4.0828 4.0989 4.1150 4.1311 4.1473 4.1637 4.1804 4.1973 4.2145 4.2321 4.2500  |  0.3365 0.3160 0.2951 0.2741 0.2530 0.2318 0.2107 0.1895 0.1683 0.1472 0.1260 0.1049 0.0838 0.0628 0.0418 0.0209 0.0000
0021      2.297832  3.9800 3.9990 4.0163 4.0332 4.0499 4.0663 4.0826 4.0988 4.1150 4.1312 4.1475 4.1640 4.1807 4.1976 4.2148 4.2323 4.2500  |  0.3393 0.3187 0.2975 0.2763 0.2550 0.2338 0.2124 0.1911 0.1698 0.1484 0.1271 0.1058 0.0846 0.0634 0.0422 0.0211 0.0000
0022      2.277832  3.9800 3.9992 4.0166 4.0336 4.0502 4.0666 4.0828 4.0989 4.1150 4.1311 4.1473 4.1637 4.1804 4.1973 4.2146 4.2321 4.2500  |  0.3363 0.3159 0.2950 0.2740 0.2529 0.2318 0.2106 0.1895 0.1683 0.1471 0.1260 0.1049 0.0838 0.0628 0.0418 0.0209 0.0000
0023      2.257832  3.9800 3.9995 4.0169 4.0340 4.0506 4.0669 4.0830 4.0990 4.1150 4.1310 4.1471 4.1635 4.1801 4.1970 4.2143 4.2320 4.2500  |  0.3334 0.3132 0.2924 0.2716 0.2507 0.2298 0.2088 0.1878 0.1668 0.1458 0.1249 0.1039 0.0830 0.0622 0.0414 0.0207 0.0000
0024      2.276472  3.9800 3.9993 4.0167 4.0336 4.0502 4.0666 4.0828 4.0989 4.1149 4.1311 4.1473 4.1637 4.1804 4.1973 4.2146 4.2321 4.2500  |  0.3361 0.3158 0.2949 0.2739 0.2528 0.2317 0.2105 0.1894 0.1682 0.1471 0.1259 0.1048 0.0838 0.0628 0.0418 0.0209 0.0000
0025      2.256472  3.9800 3.9996 4.0170 4.0340 4.0506 4.0669 4.0830 4.0990 4.1149 4.1310 4.1471 4.1635 4.1801 4.1971 4.2143 4.2320 4.2500  |  0.3332 0.3131 0.2923 0.2715 0.2506 0.2297 0.2087 0.1877 0.1667 0.1458 0.1248 0.1039 0.0830 0.0622 0.0414 0.0207 0.0000
0026      2.236472  3.9800 3.9999 4.0174 4.0344 4.0509 4.0672 4.0832 4.0991 4.1149 4.1309 4.1470 4.1633 4.1798 4.1968 4.2141 4.2318 4.2500  |  0.3302 0.3104 0.2898 0.2692 0.2485 0.2277 0.2069 0.1861 0.1653 0.1444 0.1237 0.1029 0.0822 0.0616 0.0410 0.0205 0.0000
0027      2.254718  3.9800 3.9997 4.0171 4.0340 4.0506 4.0669 4.0830 4.0990 4.1149 4.1310 4.1471 4.1635 4.1801 4.1971 4.2144 4.2320 4.2500  |  0.3329 0.3129 0.2922 0.2714 0.2505 0.2295 0.2086 0.1876 0.1666 0.1457 0.1247 0.1038 0.0829 0.0621 0.0414 0.0207 0.0000
0028      2.234718  3.9800 4.0000 4.0174 4.0344 4.0510 4.0672 4.0832 4.0991 4.1149 4.1309 4.1469 4.1633 4.1799 4.1968 4.2141 4.2318 4.2500  |  0.3299 0.3102 0.2896 0.2690 0.2483 0.2276 0.2068 0.1860 0.1652 0.1444 0.1236 0.1029 0.0822 0.0615 0.0410 0.0204 0.0000
0029      2.214718  3.9800 4.0003 4.0178 4.0348 4.0513 4.0675 4.0834 4.0992 4.1149 4.1308 4.1468 4.1630 4.1796 4.1965 4.2139 4.2317 4.2500  |  0.3270 0.3075 0.2871 0.2667 0.2462 0.2256 0.2050 0.1843 0.1637 0.1430 0.1224 0.1019 0.0814 0.0609 0.0405 0.0202 0.0000
# stopped after 30 iters
